                                                                                                                                    Expenditure Profile  2026-2027                                                                                                                            ,,,,,,,,,,,,,,1,
STATEMENT 4A,,,,,,,,,,,,,,,
CENTRALLY SPONSORED SCHEMES,,,,,,,,,,,,,,,
(In ₹ Crores),,,,,,,,,,,,,,,
,,,Actuals 2024-2025,,,Budget Estimates 2025-2026,,,Revised Estimates 2025-2026,,,Budget Estimates 2026-2027,,,
MINISTRY/DEPARTMENT,,,Revenue,Capital,Total,Revenue,Capital,Total,Revenue,Capital,Total,Revenue,Capital,,Total
    ,79,Atal Vayo Abhyuday Yojana (AVYAY),146.13,...,146.13,263.73,...,263.73,230,... ,230,355,...,,355
    ,80,National Action Plan for Drug Demand Reduction (NAPDDR),268.32,...,268.32,333,...,333,420,... ,420,333,...,,333
DemandNo. 99,,,5.27,...,5.27,0.01,...,0.01,...,...,...,0.01,...,,0.01
Ministry of Tourism,,,,,,,,,,,,,,,
    ,81,Safe Tourist Destination for Women,5.27,...,5.27,0.01,...,0.01,...,... ,...,0.01,...,,0.01
DemandNo. 100,,,3603.5,...,3603.5,5582.45,...,5582.45,4023.34,...,4023.34,5700.01,...,,5700.01
Ministry of Tribal Affairs,,,,,,,,,,,,,,,
    ,82,Programme for Development of Scheduled Tribes (PM Vanbandhu Kalyan Yojna),3603.5,...,3603.5,5582.45,...,5582.45,4023.34,... ,4023.34,5700.01,...,,5700.01
DemandNo. 101,,,24254.3,...,24254.3,26610,...,26610,24049.47,...,24049.47,28255,...,,28255
Ministry of Women and Child Development,,,,,,,,,,,,,,,
    ,83,"Saksham Anganwadi and POSHAN 2.0 (Umbrella ICDS - Anganwadi Services, Poshan Abhiyan, Scheme for Adolescent Girls)",21014.02,...,21014.02,21960,...,21960,20949.47,... ,20949.47,23100,...,,23100
    ,84,Mission VATSALYA (Child Protection Services and Child Welfare Services),1405.53,...,1405.53,1500,...,1500,1100,... ,1100,1550,...,,1550
    ,85,Mission Shakti (Mission for Protection and Empowerment for Women),1834.75,...,1834.75,3150,...,3150,2000,... ,2000,3605,...,,3605
Others,,,15499.41,...,15499.41,-1649.07,...,-1649.07,29466.65,...,29466.65,-35445,...,,-35445
    ,86,Others (including amount Met from & Transfer to various funds),15499.41,...,15499.41,-1649.07,...,-1649.07,29466.65,... ,29466.65,-35445,...,,-35445
Grand Total,,,402338.05,29.57,402367.62,541826.78,23.43,541850.21,420059.07,18.63,420077.7,548279.98,517.75,,548797.73
